"whether he/she donated blood in March 2007",Frequency (times),Monetary (c.c. blood),Time (months),Recency (months)
0,1,250,2,2
0,1,250,2,2
0,1,250,2,2
0,1,250,2,2
1,1,250,2,2
1,1,250,2,2
1,1,250,2,2
0,1,250,2,2
0,1,250,2,2
0,1,250,2,2
0,1,250,2,2
0,1,250,2,2
0,1,250,2,2
0,1,250,2,2
0,1,250,2,2
0,1,250,2,2
0,10,2500,35,11
1,4,1000,16,11
1,5,1250,33,4
1,6,1500,41,4
0,3,750,22,2
1,4,1000,26,4
0,4,1000,16,10
0,4,1000,35,2
0,12,3000,88,4
0,8,2000,26,13
0,9,2250,33,11
0,5,1250,34,4
0,4,1000,26,4
0,15,3750,77,8
1,5,1250,35,4
0,7,1750,52,4
0,7,1750,52,4
0,4,1000,35,2
0,11,2750,42,11
0,2,500,14,2
1,5,1250,47,2
1,8,2000,38,9
0,6,1500,47,4
0,7,1750,29,11
0,9,2250,45,9
0,6,1500,52,4
0,7,1750,58,4
1,2,500,11,6
0,7,1750,58,4
0,9,2250,38,11
0,6,1500,26,11
0,2,500,16,2
0,7,1750,76,2
0,6,1500,27,11
0,3,750,14,11
0,1,250,4,4
0,1,250,4,4
0,1,250,4,4
0,1,250,4,4
0,1,250,4,4
1,1,250,4,4
0,1,250,4,4
0,1,250,4,4
0,1,250,4,4
0,1,250,4,4
0,1,250,4,4
1,1,250,4,4
1,1,250,4,4
0,1,250,4,4
1,1,250,4,4
1,1,250,4,4
0,1,250,4,4
0,3,750,24,4
0,1,250,4,4
0,1,250,4,4
0,1,250,4,4
1,1,250,4,4
0,1,250,4,4
0,8,2000,39,10
0,7,1750,26,14
0,10,2500,63,8
0,3,750,15,11
0,2,500,14,4
0,4,1000,43,2
0,9,2250,58,8
1,8,2000,52,8
0,22,5500,98,11
1,3,750,25,4
1,17,4250,79,11
0,2,500,11,9
0,5,1250,46,4
0,12,3000,58,11
0,12,3000,86,7
0,2,500,11,11
0,2,500,11,11
0,2,500,11,11
0,6,1500,75,2
1,8,2000,41,11
1,3,750,16,11
0,13,3250,59,12
0,3,750,35,2
0,8,2000,28,16
0,7,1750,37,11
0,3,750,28,4
0,12,3000,58,12
0,4,1000,41,4
1,14,3500,73,11
0,2,500,23,2
1,3,750,38,2
0,5,1250,58,4
1,4,1000,43,4
0,2,500,23,3
0,8,2000,46,11
0,7,1750,82,4
0,4,1000,21,13
0,11,2750,40,16
0,7,1750,28,16
0,2,500,16,7
0,5,1250,58,4
0,5,1250,58,4
0,4,1000,46,4
0,13,3250,57,14
0,3,750,34,4
0,18,4500,78,14
0,8,2000,48,11
0,16,4000,70,14
1,4,1000,22,14
0,5,1250,26,14
0,2,500,16,8
0,5,1250,33,11
0,2,500,14,11
0,2,500,23,4
1,2,500,16,9
1,5,1250,28,14
1,3,750,19,14
1,4,1000,23,14
0,12,3000,50,16
0,4,1000,28,11
0,5,1250,35,11
0,5,1250,35,11
0,4,1000,70,2
0,5,1250,28,14
0,2,500,14,14
0,2,500,14,14
0,2,500,14,14
0,2,500,14,14
0,2,500,14,14
0,2,500,14,14
0,3,750,52,2
0,6,1500,34,14
1,5,1250,37,11
0,5,1250,74,4
0,3,750,23,11
0,4,1000,23,16
0,3,750,19,16
0,5,1250,38,11
0,2,500,16,11
0,9,2250,60,12
0,1,250,9,9
0,1,250,9,9
0,2,500,29,4
0,2,500,17,11
0,4,1000,26,14
1,9,2250,72,11
0,5,1250,41,11
0,16,4000,82,15
1,5,1250,51,9
0,4,1000,34,11
1,8,2000,50,14
0,7,1750,38,16
0,2,500,16,14
0,2,500,41,2
0,16,4000,98,14
1,4,1000,28,14
0,7,1750,39,16
0,7,1750,47,14
0,6,1500,35,16
1,6,1500,35,16
1,7,1750,62,11
0,2,500,16,16
1,3,750,21,16
0,3,750,28,11
0,7,1750,64,11
1,1,250,11,11
0,3,750,34,9
0,4,1000,30,14
0,38,9500,98,23
0,6,1500,58,11
0,1,250,11,11
0,1,250,11,11
0,1,250,11,11
0,1,250,11,11
0,1,250,11,11
0,1,250,11,11
0,1,250,11,11
0,1,250,11,11
0,2,500,21,11
0,5,1250,50,11
0,2,500,21,11
0,4,1000,28,16
0,2,500,41,4
0,6,1500,40,16
0,3,750,26,14
0,2,500,26,9
0,16,4000,64,21
0,6,1500,51,14
0,2,500,24,11
0,3,750,71,4
0,13,3250,57,21
0,6,1500,71,11
1,2,500,21,14
0,15,3750,57,23
0,4,1000,38,14
0,2,500,26,11
1,5,1250,40,16
1,2,500,51,4
0,3,750,31,14
0,2,500,52,4
0,4,1000,65,9
0,4,1000,40,14
1,3,750,40,11
0,5,1250,50,14
0,1,250,14,14
0,1,250,14,14
0,1,250,14,14
0,1,250,14,14
0,1,250,14,14
0,1,250,14,14
0,1,250,14,14
0,1,250,14,14
0,7,1750,72,14
0,1,250,14,14
0,1,250,14,14
0,3,750,52,9
0,7,1750,73,14
0,4,1000,58,11
0,4,1000,59,11
0,2,500,59,4
0,4,1000,61,11
0,4,1000,40,16
0,10,2500,89,16
1,2,500,21,21
0,3,750,26,21
0,8,2000,76,16
1,3,750,26,21
0,2,500,23,18
0,5,1250,33,23
0,8,2000,46,23
0,3,750,34,16
0,5,1250,64,14
0,3,750,41,14
0,1,250,16,16
0,1,250,16,16
0,1,250,16,16
0,1,250,16,16
0,1,250,16,16
0,1,250,16,16
0,1,250,16,16
0,4,1000,45,16
0,1,250,16,16
0,1,250,16,16
0,1,250,16,16
0,1,250,16,16
0,1,250,16,16
0,2,500,26,16
0,2,500,23,21
0,2,500,27,16
0,2,500,23,21
0,2,500,23,21
0,4,1000,57,14
0,5,1250,60,16
0,2,500,23,23
0,5,1250,74,14
0,3,750,28,23
0,3,750,40,16
0,2,500,52,9
0,2,500,52,9
1,7,1750,87,16
0,4,1000,64,14
0,2,500,35,14
0,7,1750,93,16
0,2,500,25,21
0,3,750,52,14
0,14,3500,93,23
0,8,2000,95,18
0,3,750,46,16
0,3,750,76,11
0,2,500,52,11
0,3,750,76,11
0,12,3000,86,23
0,3,750,35,21
0,2,500,26,23
0,2,500,26,23
0,8,2000,64,23
0,3,750,50,16
0,3,750,33,23
0,3,750,38,21
0,2,500,28,23
0,1,250,21,21
0,1,250,21,21
0,1,250,21,21
0,1,250,21,21
0,1,250,21,21
0,1,250,21,21
0,1,250,21,21
0,1,250,21,21
0,1,250,21,21
1,1,250,21,21
0,1,250,21,21
0,1,250,21,21
0,5,1250,60,21
0,4,1000,45,23
0,4,1000,52,21
1,1,250,22,22
0,2,500,70,11
0,5,1250,58,23
0,3,750,40,23
0,3,750,41,23
0,3,750,83,14
0,2,500,35,21
1,5,1250,49,26
0,6,1500,70,23
0,1,250,23,23
0,1,250,23,23
0,1,250,23,23
0,1,250,23,23
0,1,250,23,23
0,1,250,23,23
0,1,250,23,23
0,1,250,23,23
0,4,1000,53,23
0,6,1500,86,21
0,3,750,48,23
0,2,500,41,21
0,3,750,64,21
0,2,500,70,16
0,3,750,70,21
0,4,1000,87,23
0,3,750,89,23
0,2,500,87,23
0,3,750,64,35
0,1,250,38,38
0,1,250,38,38
0,1,250,40,40
0,1,250,74,74
1,43,10750,86,2
1,22,5500,28,6
1,34,8500,77,2
0,44,11000,98,2
1,26,6500,76,0
1,41,10250,98,2
1,21,5250,42,3
0,11,2750,23,2
1,21,5250,52,2
1,13,3250,32,2
1,4,1000,4,4
0,11,2750,26,2
0,11,2750,28,2
0,14,3500,35,3
1,16,4000,38,4
0,6,1500,14,4
1,5,1250,12,3
1,33,8250,98,4
1,10,2500,33,3
1,10,2500,28,4
1,11,2750,40,2
1,11,2750,41,2
1,13,3250,39,4
1,10,2500,43,1
0,9,2250,28,4
0,4,1000,11,2
1,5,1250,16,2
0,15,3750,64,2
0,24,6000,79,5
1,6,1500,22,2
1,5,1250,16,4
1,4,1000,14,2
0,8,2000,28,4
0,4,1000,14,2
0,6,1500,26,2
1,5,1250,16,4
1,7,1750,32,2
1,6,1500,26,2
1,8,2000,38,2
1,2,500,4,2
1,6,1500,28,2
0,10,2500,52,2
1,16,4000,70,4
1,2,500,4,4
0,14,3500,95,1
1,2,500,4,4
0,14,3500,48,7
0,3,750,11,2
1,12,3000,70,2
1,7,1750,32,4
0,4,1000,16,4
1,6,1500,35,2
1,6,1500,28,4
0,3,750,14,2
0,4,1000,23,2
0,4,1000,18,4
0,6,1500,28,5
0,6,1500,30,4
0,5,1250,14,14
0,8,2000,50,3
1,11,2750,64,4
0,9,2250,52,4
1,16,4000,98,4
0,10,2500,47,7
0,14,3500,86,4
0,9,2250,75,2
0,6,1500,35,4
0,9,2250,55,4
1,6,1500,35,4
0,6,1500,45,2
0,6,1500,47,2
0,2,500,9,4
1,2,500,11,2
0,2,500,11,2
1,2,500,11,2
1,6,1500,38,4
1,4,1000,29,3
0,9,2250,38,9
0,5,1250,18,11
0,3,750,21,2
0,1,250,2,2
1,1,250,2,2
0,1,250,2,2
0,1,250,2,2
0,1,250,2,2
0,1,250,2,2
1,1,250,2,2
0,1,250,2,2
0,1,250,2,2
0,1,250,2,2
0,1,250,2,2
0,11,2750,38,11
0,3,750,22,2
1,11,2750,49,9
0,11,2750,75,5
0,5,1250,38,3
1,1,250,3,3
0,6,1500,43,4
0,3,750,24,2
0,11,2750,39,12
0,2,500,14,2
0,6,1500,46,4
0,3,750,14,9
0,8,2000,26,14
0,2,500,13,4
0,11,2750,95,4
0,7,1750,77,2
0,7,1750,77,2
0,1,250,4,4
0,1,250,4,4
0,1,250,4,4
0,1,250,4,4
1,1,250,4,4
0,1,250,4,4
0,1,250,4,4
0,1,250,4,4
0,1,250,4,4
0,1,250,4,4
1,1,250,4,4
0,1,250,4,4
0,7,1750,62,4
0,1,250,4,4
1,4,1000,34,4
0,6,1500,28,11
1,3,750,14,13
0,5,1250,35,7
0,9,2250,54,9
0,2,500,11,11
0,5,1250,63,2
0,11,2750,89,7
0,9,2250,64,8
0,2,500,22,2
0,3,750,26,6
0,15,3750,71,12
0,3,750,16,13
0,16,4000,89,11
0,5,1250,58,4
0,7,1750,35,14
0,4,1000,27,11
1,9,2250,89,7
1,8,2000,52,11
0,5,1250,52,7
0,6,1500,41,11
0,5,1250,38,10
1,2,500,14,14
0,2,500,14,14
0,2,500,14,14
0,2,500,33,2
0,3,750,23,11
0,8,2000,46,14
0,1,250,9,9
0,5,1250,27,16
0,4,1000,26,14
0,2,500,30,4
0,3,750,21,14
0,16,4000,77,16
0,2,500,31,4
0,8,2000,50,14
0,3,750,26,11
0,7,1750,45,14
0,5,1250,33,15
0,2,500,16,16
0,3,750,21,16
0,8,2000,72,11
0,1,250,11,11
0,1,250,11,11
0,1,250,11,11
1,1,250,11,11
0,1,250,11,11
1,3,750,75,2
0,3,750,77,2
0,4,1000,28,16
0,15,3750,87,16
0,14,3500,83,16
0,10,2500,62,16
0,3,750,23,16
0,3,750,26,14
0,19,4750,62,23
0,7,1750,75,11
0,3,750,28,14
1,14,3500,69,20
0,2,500,46,4
0,2,500,25,11
0,3,750,37,11
0,4,1000,33,16
0,7,1750,38,21
0,7,1750,76,13
0,6,1500,50,16
0,3,750,33,14
0,1,250,14,14
0,1,250,14,14
0,1,250,14,14
0,1,250,14,14
0,1,250,14,14
0,1,250,14,14
1,7,1750,58,17
0,3,750,35,14
0,3,750,35,14
0,7,1750,64,16
0,2,500,21,21
0,3,750,35,16
0,1,250,16,16
0,1,250,16,16
0,1,250,16,16
0,1,250,16,16
0,1,250,16,16
0,2,500,29,14
0,4,1000,74,11
1,2,500,38,11
0,6,1500,48,21
0,2,500,23,23
0,6,1500,45,23
1,2,500,35,14
0,6,1500,81,16
0,4,1000,58,16
0,5,1250,71,16
0,2,500,26,21
0,3,750,35,21
0,3,750,35,21
0,8,2000,69,23
0,3,750,38,21
0,3,750,35,23
0,3,750,40,21
0,2,500,28,23
0,1,250,21,21
0,1,250,21,21
0,6,1500,50,25
0,1,250,21,21
0,1,250,21,21
0,3,750,39,23
0,2,500,33,21
0,3,750,79,14
1,1,250,23,23
0,1,250,23,23
0,1,250,23,23
0,1,250,23,23
0,1,250,23,23
0,1,250,23,23
0,1,250,23,23
0,4,1000,52,23
0,1,250,23,23
0,7,1750,88,23
0,3,750,86,16
0,2,500,38,23
0,2,500,52,21
0,3,750,62,23
0,1,250,39,39
0,1,250,72,72
