label,mcg,gvh,lip,chg,aac,alm1,alm2
PTFA_ECOLI,0.618,0.643,1.0,1.0,0.409,0.67,0.5555
PTGA_ECOLI,0.5505,0.6905,1.0,1.0,0.5795,0.7525,0.7275
PTHA_ECOLI,0.5395,0.6785,1.0,1.0,0.432,0.7835,0.7475
PTHP_ECOLI,0.663,0.655,1.0,1.0,0.591,0.8145,0.677
PTKA_ECOLI,0.6515,0.631,1.0,1.0,0.6705,0.7425,0.606
PTKB_ECOLI,0.281,0.2855,1.0,1.0,0.4885,0.67,0.616
PTNA_ECOLI,0.6065,0.75,1.0,1.0,0.659,0.6805,0.5655
PTWB_ECOLI,0.3595,0.5475,1.0,1.0,0.5795,0.7425,0.6665
PTWX_ECOLI,0.2695,0.5355,1.0,1.0,0.6135,0.6495,0.717
RHAR_ECOLI,0.427,0.643,1.0,1.0,0.341,0.7115,0.586
RHAS_ECOLI,0.573,0.7145,1.0,1.0,0.284,0.773,0.6465
RIMI_ECOLI,0.7305,0.512,1.0,1.0,0.284,0.6805,0.5655
RIMJ_ECOLI,0.573,0.881,1.0,1.0,0.3865,0.866,0.717
RIML_ECOLI,0.629,0.631,1.0,1.0,0.3975,0.8455,0.707
RNB_ECOLI,0.7305,0.7855,1.0,1.0,0.568,0.7215,0.596
RNC_ECOLI,0.708,0.595,1.0,1.0,0.5,0.701,0.586
RND_ECOLI,0.5055,0.607,1.0,1.0,0.557,0.639,0.596
RNE_ECOLI,0.517,0.8095,1.0,1.0,0.625,0.567,0.4745
SERC_ECOLI,0.4495,0.6785,1.0,1.0,0.443,0.7215,0.596
SLYD_ECOLI,0.472,0.857,1.0,1.0,0.3635,0.8245,0.7475
SOXS_ECOLI,0.6405,0.7975,1.0,1.0,0.318,0.969,0.798
SYA_ECOLI,0.618,0.774,1.0,1.0,0.4205,0.526,0.4345
SYC_ECOLI,0.6065,0.7855,1.0,1.0,0.4775,0.7215,0.7275
SYD_ECOLI,0.573,0.8335,1.0,1.0,0.5115,0.732,0.606
SYE_ECOLI,0.573,0.6665,1.0,1.0,0.5115,0.8245,0.687
SYFA_ECOLI,0.5395,0.5835,1.0,1.0,0.341,0.8245,0.687
SYFB_ECOLI,0.618,0.6905,1.0,1.0,0.534,0.6805,0.5655
SYGA_ECOLI,0.427,0.607,1.0,1.0,0.3975,0.8865,0.7375
SYGB_ECOLI,0.719,0.5835,1.0,1.0,0.5795,0.598,0.495
SYH_ECOLI,0.674,0.857,1.0,1.0,0.432,0.598,0.495
SYI_ECOLI,0.719,0.881,1.0,1.0,0.557,0.701,0.576
SYK1_ECOLI,0.7305,0.7025,1.0,1.0,0.443,0.794,0.6565
SYK2_ECOLI,0.809,0.726,1.0,1.0,0.3975,0.7215,0.606
SYL_ECOLI,0.955,0.8215,1.0,1.0,0.534,0.732,0.606
SYM_ECOLI,0.3145,0.762,1.0,1.0,0.443,0.67,0.5555
SYP_ECOLI,0.618,0.5835,1.0,1.0,0.5,0.6495,0.5355
SYQ_ECOLI,0.6855,0.7975,1.0,1.0,0.4885,0.804,0.6665
SYR_ECOLI,0.5505,0.643,1.0,1.0,0.5225,0.67,0.5555
SYS_ECOLI,0.7415,0.7855,1.0,1.0,0.5115,0.763,0.6265
SYT_ECOLI,0.5845,0.6665,1.0,1.0,0.5225,0.629,0.5255
SYV_ECOLI,1.0,0.738,1.0,1.0,0.5225,0.536,0.4445
SYW_ECOLI,0.562,0.8215,1.0,1.0,0.568,0.6805,0.5655
SYY_ECOLI,0.663,0.6665,1.0,1.0,0.443,0.804,0.6665
THGA_ECOLI,0.6965,0.8335,1.0,1.0,0.193,0.7425,0.606
THIK_ECOLI,0.809,0.5715,1.0,1.0,0.443,0.6495,0.5355
TYRB_ECOLI,0.5955,0.6905,1.0,1.0,0.3975,0.701,0.586
UBIC_ECOLI,0.663,0.75,1.0,1.0,0.5115,0.8455,0.697
UGPQ_ECOLI,0.708,0.7145,1.0,1.0,0.591,0.763,0.6265
USPA_ECOLI,0.5505,0.7025,1.0,1.0,0.375,0.804,0.6665
UVRB_ECOLI,0.753,0.7855,1.0,1.0,0.5225,0.732,0.606
UVRC_ECOLI,0.5055,0.774,1.0,1.0,0.5,0.495,0.404
XGPT_ECOLI,0.6965,0.6905,1.0,1.0,0.5795,0.639,0.5655
XYLA_ECOLI,0.82,0.6785,1.0,1.0,0.3865,0.7525,0.6265
EMRA_ECOLI,0.9325,0.4645,1.0,1.0,0.443,0.0825,0.6265
AAS_ECOLI,0.5055,0.5715,1.0,1.0,0.5115,0.5465,0.4545
AMPE_ECOLI,0.292,0.631,1.0,1.0,0.4205,0.1855,0.1515
ARAE_ECOLI,0.7415,0.619,1.0,1.0,0.3295,0.1235,0.101
ARAH_ECOLI,0.618,0.607,1.0,1.0,0.341,0.1545,0.192
AROP_ECOLI,0.517,0.7145,1.0,1.0,0.341,0.2575,0.212
ATKB_ECOLI,0.483,0.4645,1.0,1.0,0.4545,0.1445,0.121
ATP6_ECOLI,0.6965,0.774,1.0,1.0,0.4205,0.237,0.202
BETT_ECOLI,0.4155,0.726,1.0,1.0,0.2615,0.299,0.2625
CODB_ECOLI,0.674,0.631,1.0,1.0,0.193,0.361,0.303
CYDA_ECOLI,0.382,0.631,1.0,1.0,0.3525,0.227,0.192
CYOC_ECOLI,0.865,0.393,1.0,1.0,0.159,0.433,0.3635
CYOD_ECOLI,0.5505,0.595,1.0,1.0,0.2615,0.1855,0.1515
DCTA_ECOLI,0.18,0.762,1.0,1.0,0.3975,0.093,0.0705
DHG_ECOLI,0.056,0.6665,1.0,1.0,0.4545,0.299,0.2525
DHSC_ECOLI,0.4605,0.655,1.0,1.0,0.318,0.227,0.192
DHSD_ECOLI,0.3935,0.607,1.0,1.0,0.5455,0.134,0.111
DPPC_ECOLI,0.4605,0.7025,1.0,1.0,0.4205,0.103,0.111
DSBB_ECOLI,0.438,0.405,1.0,1.0,0.6475,0.0825,0.0705
ENVZ_ECOLI,0.191,0.643,1.0,1.0,0.4205,0.3505,0.293
EXBB_ECOLI,0.472,0.5355,1.0,1.0,0.341,0.299,0.2425
FRDC_ECOLI,0.629,0.524,1.0,1.0,0.625,0.227,0.192
FRDD_ECOLI,0.281,0.5,1.0,1.0,0.4545,0.227,0.2625
FTSW_ECOLI,0.3935,0.512,1.0,1.0,0.3635,0.196,0.1615
GABP_ECOLI,0.472,0.488,1.0,1.0,0.409,0.2475,0.202
GALP_ECOLI,0.292,0.595,1.0,1.0,0.3295,0.1545,0.1315
GLNP_ECOLI,0.4495,0.6905,1.0,1.0,0.3975,0.2165,0.182
GLPT_ECOLI,0.6515,0.595,1.0,1.0,0.3525,0.165,0.1415
GLTP_ECOLI,0.1685,0.6665,1.0,1.0,0.375,0.1235,0.101
KDGL_ECOLI,0.629,0.655,1.0,1.0,0.4885,0.1235,0.101
KGTP_ECOLI,0.4945,0.7145,1.0,1.0,0.307,0.268,0.222
LACY_ECOLI,0.202,0.7145,1.0,1.0,0.193,0.3095,0.2525
LGT_ECOLI,0.438,0.75,1.0,1.0,0.25,0.371,0.303
LLDP_ECOLI,0.2585,0.5595,1.0,1.0,0.3295,0.3505,0.3335
LNT_ECOLI,0.326,0.4645,1.0,1.0,0.3865,0.34,0.283
LSPA_ECOLI,0.0675,0.75,1.0,1.0,0.307,0.299,0.2525
LYSP_ECOLI,0.618,0.5835,1.0,1.0,0.2385,0.103,0.091
MALF_ECOLI,0.292,0.5475,1.0,1.0,0.2615,0.2165,0.182
MALG_ECOLI,0.2135,0.7145,1.0,1.0,0.3635,0.1445,0.1615
MCP3_ECOLI,0.326,0.595,0.0,1.0,0.3865,0.237,0.192
MSBB_ECOLI,0.82,0.5835,1.0,1.0,0.625,0.629,0.515
MTR_ECOLI,0.1685,0.357,1.0,1.0,0.25,0.361,0.303
NANT_ECOLI,0.7755,0.643,1.0,1.0,0.3525,0.227,0.182
NHAA_ECOLI,0.0,0.5355,1.0,1.0,0.4205,0.2885,0.2325
NHAB_ECOLI,0.2135,0.643,1.0,1.0,0.3635,0.227,0.2625
PHEP_ECOLI,0.865,0.6785,1.0,1.0,0.284,0.3095,0.2525
PHOR_ECOLI,0.3145,0.5715,1.0,1.0,0.3865,0.34,0.4745
PNTA_ECOLI,0.629,0.75,1.0,1.0,0.4775,0.361,0.303
POTE_ECOLI,0.292,0.4165,1.0,1.0,0.25,0.34,0.283
PROP_ECOLI,0.5395,0.5835,1.0,1.0,0.3975,0.2575,0.212
PSTA_ECOLI,0.618,0.393,1.0,1.0,0.409,0.2475,0.202
PSTC_ECOLI,0.3485,0.7855,1.0,1.0,0.3635,0.134,0.182
PTAA_ECOLI,0.337,0.524,1.0,1.0,0.375,0.206,0.1715
PTBA_ECOLI,0.427,0.7145,1.0,1.0,0.3525,0.392,0.323
PTCC_ECOLI,0.438,0.512,1.0,1.0,0.193,0.402,0.3335
PTDA_ECOLI,0.326,0.643,1.0,1.0,0.4885,0.196,0.1615
PTFB_ECOLI,0.5845,0.631,1.0,1.0,0.557,0.2475,0.202
PTGB_ECOLI,0.3485,0.5355,1.0,1.0,0.3525,0.3095,0.2525
PTHB_ECOLI,0.5955,0.631,1.0,1.0,0.4205,0.3195,0.2725
PTMA_ECOLI,0.562,0.7025,1.0,1.0,0.409,0.2885,0.2425
PTOA_ECOLI,0.6065,0.5835,1.0,1.0,0.307,0.299,0.2525
PTTB_ECOLI,0.6515,0.6665,1.0,1.0,0.432,0.2165,0.1715
RODA_ECOLI,0.3145,0.405,1.0,1.0,0.4775,0.134,0.111
SECE_ECOLI,0.4605,0.607,1.0,1.0,0.409,0.237,0.283
SECF_ECOLI,0.8765,0.595,1.0,1.0,0.341,0.2885,0.313
SECY_ECOLI,0.6515,0.762,1.0,1.0,0.341,0.062,0.0505
TNAB_ECOLI,0.236,0.5835,1.0,1.0,0.193,0.2575,0.212
XYLE_ECOLI,0.2245,0.726,1.0,1.0,0.3525,0.2475,0.202
YCEE_ECOLI,0.4155,0.5475,1.0,1.0,0.2955,0.2475,0.202
EXBD_ECOLI,0.483,0.488,1.0,1.0,0.591,0.2475,0.7675
FTSL_ECOLI,0.5955,0.655,1.0,1.0,0.568,0.2165,0.8285
FTSN_ECOLI,1.0,0.5835,1.0,1.0,0.6025,0.34,0.5555
FTSQ_ECOLI,0.8875,0.607,1.0,1.0,0.534,0.34,0.788
MOTB_ECOLI,0.663,0.5835,1.0,1.0,0.5225,0.402,0.6565
TOLA_ECOLI,0.3145,0.631,1.0,1.0,1.0,0.206,0.677
TOLQ_ECOLI,0.292,0.2975,1.0,1.0,0.2725,0.2785,0.3335
EMRB_ECOLI,0.202,0.5715,1.0,1.0,0.2725,0.0,0.0
ATKC_ECOLI,0.045,0.5595,1.0,1.0,0.3975,0.495,0.6465
NFRB_ECOLI,0.292,0.607,1.0,1.0,0.3865,0.2475,0.202
NLPA_ECOLI,0.1575,0.5355,0.0,0.0,0.5455,0.5465,0.697
CYOA_ECOLI,0.2135,0.726,0.0,1.0,0.4205,0.1855,0.1515
ATKA_ECOLI,0.191,0.6905,1.0,1.0,0.2615,0.237,0.202
BCR_ECOLI,0.1125,0.7025,1.0,1.0,0.25,0.196,0.1615
CADB_ECOLI,0.0675,0.619,1.0,1.0,0.2615,0.2475,0.202
CAIT_ECOLI,0.2245,0.6785,1.0,1.0,0.3295,0.268,0.222
CPXA_ECOLI,0.1125,0.762,1.0,1.0,0.4775,0.1855,0.293
CRED_ECOLI,0.1235,0.7975,1.0,1.0,0.3525,0.237,0.202
CYDB_ECOLI,0.1575,0.75,1.0,1.0,0.2725,0.3095,0.2525
CYOB_ECOLI,0.337,0.845,1.0,1.0,0.2725,0.2575,0.222
CYOE_ECOLI,0.247,0.75,1.0,1.0,0.3865,0.371,0.313
DMSC_ECOLI,0.2585,0.619,1.0,1.0,0.3865,0.3095,0.2525
DPPB_ECOLI,0.281,0.643,1.0,1.0,0.4545,0.2785,0.2325
DSBD_ECOLI,0.146,0.345,1.0,1.0,0.432,0.299,0.2425
FEPD_ECOLI,0.056,0.607,1.0,1.0,0.375,0.227,0.2525
FEPG_ECOLI,0.135,0.5355,1.0,1.0,0.4205,0.227,0.2525
FTSH_ECOLI,0.09,0.6665,1.0,1.0,0.5225,0.34,0.313
GLTS_ECOLI,0.3485,0.476,1.0,1.0,0.3295,0.2785,0.2325
KEFC_ECOLI,0.292,0.6905,1.0,1.0,0.4545,0.237,0.192
KUP_ECOLI,0.3035,0.6905,1.0,1.0,0.341,0.2165,0.182
MCP1_ECOLI,0.0335,0.726,1.0,1.0,0.3295,0.1135,0.091
MCP2_ECOLI,0.09,0.5595,1.0,1.0,0.3525,0.134,0.111
MCP4_ECOLI,0.0225,0.607,1.0,1.0,0.307,0.2475,0.202
MELB_ECOLI,0.472,0.643,1.0,1.0,0.2955,0.268,0.222
MOTA_ECOLI,0.146,0.7025,1.0,1.0,0.432,0.4225,0.3735
NUPC_ECOLI,0.2135,0.5595,1.0,1.0,0.2045,0.1445,0.121
NUPG_ECOLI,0.281,0.655,1.0,1.0,0.2385,0.402,0.3335
PNTB_ECOLI,0.09,0.5715,1.0,1.0,0.3525,0.227,0.192
PTKC_ECOLI,0.18,0.881,1.0,1.0,0.3525,0.2575,0.212
RHAT_ECOLI,0.4495,0.4645,0.0,1.0,0.3635,0.299,0.2525
SECD_ECOLI,0.011,0.6905,1.0,1.0,0.409,0.2785,0.2425
SECG_ECOLI,0.056,0.5475,1.0,1.0,0.1475,0.0825,0.293
TEHA_ECOLI,0.292,0.5835,1.0,1.0,0.2725,0.2885,0.2325
TYRP_ECOLI,0.0335,0.5355,1.0,1.0,0.284,0.196,0.1615
UHPB_ECOLI,0.1125,0.5475,1.0,1.0,0.432,0.3505,0.313
TONB_ECOLI,0.3595,0.738,1.0,1.0,0.932,0.526,0.6665
LEP_ECOLI,0.1235,0.6665,1.0,1.0,0.4885,0.2785,0.313
FADL_ECOLI,0.1235,0.381,1.0,1.0,0.057,0.6185,0.707
FHUA_ECOLI,0.292,0.369,1.0,1.0,0.2615,0.608,0.717
LAMB_ECOLI,0.247,0.143,1.0,1.0,0.1705,0.5155,0.7475
NFRA_ECOLI,0.3145,0.2975,1.0,1.0,0.4205,0.6905,0.6665
NMPC_ECOLI,0.247,0.1905,1.0,1.0,0.159,0.474,0.6265
OMPA_ECOLI,0.1685,0.119,1.0,1.0,0.3525,0.4845,0.707
OMPC_ECOLI,0.18,0.1905,1.0,1.0,0.0225,0.433,0.707
OMPF_ECOLI,0.1575,0.2855,1.0,1.0,0.057,0.4435,0.697
OMPX_ECOLI,0.135,0.512,1.0,1.0,0.0,0.4845,0.798
PHOE_ECOLI,0.1685,0.262,1.0,1.0,0.1475,0.474,0.8485
TSX_ECOLI,0.236,0.2855,1.0,1.0,0.0455,0.567,0.7275
BTUB_ECOLI,0.371,0.381,1.0,1.0,0.125,0.66,0.5455
CIRA_ECOLI,0.2695,0.5835,1.0,1.0,0.25,0.474,0.6665
FECA_ECOLI,0.4155,0.226,1.0,1.0,0.182,0.639,0.616
FEPA_ECOLI,0.281,0.512,1.0,1.0,0.2045,0.6905,0.7375
FHUE_ECOLI,0.326,0.2855,0.0,1.0,0.125,0.4225,0.4745
OMPP_ECOLI,0.2245,0.488,1.0,1.0,0.125,0.629,0.788
OMPT_ECOLI,0.292,0.607,1.0,1.0,0.1025,0.567,0.717
TOLC_ECOLI,0.202,0.345,1.0,1.0,0.2275,0.5875,0.6365
PA1_ECOLI,0.236,0.4405,1.0,1.0,0.1705,0.6185,0.697
MULI_ECOLI,0.135,0.512,0.0,1.0,0.5795,0.474,0.99
NLPB_ECOLI,0.2585,0.607,0.0,1.0,0.3865,0.4535,0.6365
NLPE_ECOLI,0.202,0.643,0.0,1.0,0.409,0.4225,0.697
PAL_ECOLI,0.247,0.5355,0.0,1.0,0.25,0.433,0.8385
SLP_ECOLI,0.236,0.607,0.0,1.0,0.2955,0.464,0.717
AGP_ECOLI,0.1685,0.607,1.0,1.0,0.5225,0.474,0.6365
AMY1_ECOLI,0.2135,0.4645,1.0,1.0,0.3635,0.495,0.5655
ARAF_ECOLI,0.2585,0.1665,1.0,1.0,0.6135,0.608,0.6365
ASG2_ECOLI,0.18,0.262,1.0,1.0,0.341,0.505,0.687
BGLX_ECOLI,0.2695,0.512,1.0,1.0,0.466,0.5465,0.485
C562_ECOLI,0.191,0.1665,1.0,1.0,0.807,0.464,0.788
CN16_ECOLI,0.247,0.357,1.0,1.0,0.4775,0.567,0.6665
CYPH_ECOLI,0.247,0.226,1.0,1.0,0.3865,0.526,0.7675
CYSP_ECOLI,0.247,0.4645,1.0,1.0,0.4205,0.6495,0.616
DGAL_ECOLI,0.292,0.0,1.0,1.0,0.6025,0.505,0.505
DPPA_ECOLI,0.3595,0.488,1.0,1.0,0.557,0.5465,0.6665
DSBA_ECOLI,0.202,0.345,1.0,1.0,0.5455,0.474,0.606
DSBC_ECOLI,0.2585,0.3095,1.0,1.0,0.6475,0.639,0.5655
ECOT_ECOLI,0.247,0.226,1.0,1.0,0.716,0.598,0.7475
ECPD_ECOLI,0.281,0.3335,1.0,1.0,0.443,0.598,0.808
FECB_ECOLI,0.236,0.2145,1.0,1.0,0.568,0.361,0.4345
FECR_ECOLI,0.6405,0.726,1.0,1.0,0.3975,0.7425,0.616
FEPB_ECOLI,0.2135,0.4285,1.0,1.0,0.466,0.505,0.5255
FIMC_ECOLI,0.292,0.512,1.0,1.0,0.443,0.3095,0.798
GGT_ECOLI,0.1685,0.2145,1.0,1.0,0.443,0.526,0.586
GLNH_ECOLI,0.292,0.1665,1.0,1.0,0.557,0.5465,0.6565
GLPQ_ECOLI,0.292,0.2025,1.0,1.0,0.5455,0.629,0.808
HTRA_ECOLI,0.292,0.345,1.0,1.0,0.318,0.6185,0.606
LIVJ_ECOLI,0.202,0.1665,1.0,1.0,0.5455,0.474,0.677
LIVK_ECOLI,0.236,0.262,1.0,1.0,0.5115,0.5775,0.576
MALE_ECOLI,0.281,0.1905,1.0,1.0,0.5795,0.567,0.596
MALM_ECOLI,0.1685,0.631,1.0,1.0,0.432,0.4435,0.576
MEPA_ECOLI,0.1575,0.1905,1.0,1.0,0.6025,0.495,0.6665
MODA_ECOLI,0.292,0.4165,1.0,1.0,0.557,0.5775,0.6465
NRFA_ECOLI,0.2245,0.393,1.0,1.0,0.659,0.629,0.7575
NRFF_ECOLI,0.2135,0.345,1.0,1.0,0.5225,0.165,0.1415
OPPA_ECOLI,0.2245,0.238,1.0,1.0,0.4775,0.4435,0.7375
OSMY_ECOLI,0.281,0.405,1.0,1.0,0.534,0.629,0.798
POTD_ECOLI,0.292,0.238,1.0,1.0,0.4775,0.7115,0.707
POTF_ECOLI,0.2585,0.345,1.0,1.0,0.534,0.5155,0.6465
PPA_ECOLI,0.2245,0.488,1.0,1.0,0.4775,0.5775,0.4745
PPB_ECOLI,0.236,0.393,1.0,1.0,0.443,0.6185,0.6565
PROX_ECOLI,0.281,0.262,1.0,1.0,0.432,0.66,0.616
PSTS_ECOLI,0.3035,0.262,1.0,1.0,0.466,0.526,0.4545
PTR_ECOLI,0.146,0.3215,1.0,1.0,0.5,0.629,0.606
RBSB_ECOLI,0.281,0.226,1.0,1.0,0.5795,0.629,0.5555
SPEA_ECOLI,0.674,0.726,1.0,1.0,0.409,0.6185,0.515
SUBI_ECOLI,0.3035,0.2025,1.0,1.0,0.4775,0.66,0.596
TBPA_ECOLI,0.371,0.5475,1.0,1.0,0.5115,0.6495,0.697
TESA_ECOLI,0.2245,0.405,1.0,1.0,0.534,0.5155,0.7475
TOLB_ECOLI,0.2245,0.4165,1.0,1.0,0.284,0.536,0.586
TORA_ECOLI,0.517,0.488,1.0,1.0,0.409,0.526,0.4345
TREA_ECOLI,0.1685,0.524,1.0,1.0,0.466,0.33,0.697
UGPB_ECOLI,0.202,0.512,1.0,1.0,0.4545,0.67,0.677
USHA_ECOLI,0.3145,0.476,1.0,1.0,0.5,0.629,0.616
XYLF_ECOLI,0.337,0.4645,1.0,1.0,0.5225,0.598,0.6265
YTFQ_ECOLI,0.1685,0.3095,1.0,1.0,0.6475,0.4845,0.4745
