class,Alcohol,Malic_acid,Ash,Alcalinity_of_ash,Magnesium,Total_phenols,Flavanoids,Nonflavanoid_phenols,Proanthocyanins,Color_intensity,Hue,OD280/OD315_of_diluted_wines,Proline
1,0.342,-0.636,0.070,-0.124,-0.218,0.296,0.202,-0.660,-0.028,-0.040,-0.008,0.180,0.764
1,0.394,-0.570,0.070,-0.320,-0.260,-0.006,-0.008,0.094,-0.016,-0.564,0.220,0.172,0.016
1,0.436,-0.688,0.434,-0.082,0.348,0.358,0.012,0.396,-0.406,-0.296,0.252,0.268,0.366
1,0.306,-0.582,0.380,-0.134,-0.130,-0.056,-0.076,-0.396,-0.288,-0.502,0.008,0.172,0.166
1,0.290,-0.578,0.122,0.020,-0.348,0.186,0.114,-0.510,-0.086,-0.348,-0.090,0.612,-0.084
1,0.184,-0.644,0.582,-0.494,-0.130,0.118,-0.012,-0.208,-0.400,-0.434,-0.008,0.106,-0.142
1,0.064,-0.640,0.272,-0.238,-0.392,0.014,-0.118,-0.396,-0.350,-0.494,0.040,-0.092,0.180
1,0.074,-0.700,-0.208,-0.494,-0.392,-0.020,-0.030,-0.434,-0.394,-0.588,0.138,0.040,0.058
1,0.678,0.284,0.230,-0.732,0.260,0.394,0.140,-0.736,0.054,-0.348,-0.334,0.656,-0.312
1,0.332,-0.616,0.016,-0.422,0.022,0.496,0.244,-0.208,0.218,-0.172,-0.236,0.546,-0.262
1,0.252,0.226,-0.188,-0.154,-0.566,0.014,-0.012,-0.472,-0.324,-0.488,-0.300,0.268,0.080
1,0.500,-0.546,0.316,-0.546,-0.326,0.566,0.358,-0.850,-0.186,-0.292,-0.350,0.678,0.166
1,0.164,0.280,-0.006,-0.288,-0.282,0.144,-0.034,-0.284,-0.212,-0.474,-0.448,0.268,-0.426
1,0.064,-0.592,-0.208,-0.340,-0.196,0.394,0.122,-0.434,0.022,-0.358,-0.350,0.524,-0.134
1,0.674,0.304,0.156,-0.144,-0.108,0.290,-0.026,-0.358,-0.470,-0.324,-0.366,0.510,0.144
1,0.764,0.126,-0.016,-0.444,-0.304,0.566,0.194,-0.472,0.124,-0.382,-0.090,0.590,0.122
1,0.510,-0.628,-0.188,-0.444,-0.326,0.462,0.286,-0.698,0.092,-0.178,-0.300,0.510,0.008
1,0.616,-0.494,0.112,-0.154,-0.282,0.220,0.088,-0.284,0.242,-0.160,-0.040,0.084,0.116
1,0.532,-0.608,-0.026,-0.298,-0.174,0.310,0.350,-0.284,0.054,0.300,0.040,0.340,0.400
1,0.064,-0.608,-0.272,-0.814,-0.522,0.200,0.236,-0.850,0.578,0.010,0.040,0.202,0.244
1,0.474,-0.640,0.326,-0.320,-0.478,0.014,0.118,-0.660,0.186,-0.262,0.236,0.538,0.408
1,0.468,-0.600,0.134,-0.650,-0.108,1.000,0.434,-0.284,-0.078,-0.016,-0.138,0.458,0.300
1,0.442,-0.542,0.412,-0.330,-0.022,0.394,0.034,-0.018,-0.198,-0.144,0.056,0.216,0.564
1,0.426,-0.632,-0.048,-0.402,0.044,0.118,0.080,-0.698,-0.236,-0.220,-0.284,0.414,0.116
1,0.332,-0.608,0.176,0.020,0.000,0.366,0.030,-0.736,0.288,-0.152,-0.186,0.290,0.202
1,0.678,-0.620,0.006,-0.412,0.044,0.532,0.122,-0.510,0.022,-0.130,-0.252,0.494,-0.012
1,0.190,-0.514,0.412,-0.360,-0.304,0.394,0.220,-0.320,-0.212,-0.194,-0.040,0.150,0.416
1,0.416,-0.728,0.220,-0.372,-0.174,0.668,0.406,-0.774,0.028,-0.058,-0.334,0.172,0.436
2,-0.294,-0.920,-1.000,-1.000,-0.608,-0.310,-0.902,-0.434,-0.994,-0.886,-0.074,-0.598,-0.654
2,-0.316,-0.858,-0.016,-0.444,-0.326,-0.262,-0.684,0.886,-1.000,-0.660,0.252,-0.706,-0.426
2,-0.152,-0.754,-0.294,-0.360,-0.348,-0.282,-0.548,0.510,-0.868,-0.238,-0.186,-0.766,-0.754
2,0.390,-0.798,-0.402,-0.238,-0.478,-0.228,-0.388,-0.284,-0.798,-0.570,0.220,-0.128,-0.498
2,-0.294,-0.846,-0.144,-0.134,-0.630,0.738,0.164,-0.774,-0.078,-0.460,0.204,0.172,-0.798
2,-0.400,-0.720,0.252,-0.134,-0.260,-0.372,-0.406,0.208,-0.608,-0.716,0.578,-0.296,-0.890
2,-0.294,-0.814,0.284,-0.226,-0.392,-0.006,-0.026,-0.094,0.054,-0.434,0.154,-0.246,-0.430
2,0.094,-0.894,-0.636,-0.546,-0.826,0.380,0.198,-0.510,0.180,-0.314,0.040,0.400,-0.680
2,-0.294,-0.830,-0.402,-0.072,-0.826,-0.220,-0.300,-0.472,-0.602,-0.420,0.040,0.620,-0.670
2,0.216,-0.920,0.070,-0.340,-0.130,0.068,-0.594,0.584,-0.994,-0.678,-0.122,-0.516,-0.326
2,-0.378,-0.822,-0.582,-0.360,0.760,-0.400,-0.604,-0.962,0.318,-0.732,0.300,0.318,-0.372
2,-0.336,-0.656,-0.090,0.010,-0.282,-0.918,-0.714,-0.094,-0.338,-0.698,-0.308,-0.598,-0.156
2,0.490,-0.696,0.402,0.484,-0.652,0.358,0.064,-0.698,-0.078,-0.642,0.430,0.384,-0.812
2,0.294,-0.636,-0.058,0.382,-0.630,-0.380,-0.368,-0.472,-0.608,-0.580,-0.186,0.106,-0.724
2,0.032,-0.632,0.326,1.000,0.500,0.600,0.076,-0.698,-0.022,-0.646,0.350,0.634,0.008
2,-0.510,-0.862,0.006,0.072,-0.326,0.656,-0.240,-1.000,-0.218,-0.670,-0.170,0.362,-0.132
2,-0.668,-0.550,-0.402,-0.444,-0.414,-0.566,-0.482,-0.208,-0.534,-0.570,0.220,-0.362,-0.786
2,0.052,-0.936,-0.626,-0.444,-0.652,-0.332,-0.286,-0.584,-0.338,-0.434,0.154,-0.114,-0.838
2,-0.574,-0.150,-0.070,-0.238,-0.086,-0.490,-0.586,0.132,-0.660,-0.766,-0.220,-0.084,-0.684
2,-0.316,-0.902,-0.368,-0.568,0.434,-0.366,-0.362,-0.170,0.482,-0.638,-0.056,-0.238,-0.326
2,-0.122,0.238,0.112,0.278,-0.326,0.276,-0.068,0.132,-0.028,-0.780,0.154,0.362,-0.736
2,-0.490,-0.928,-0.316,-0.134,-0.652,-0.006,-0.190,-0.358,-0.356,-0.792,0.464,0.356,-1.000
2,-0.110,-0.578,-0.102,-0.154,-0.652,-0.158,-0.076,-0.510,-0.142,-0.552,0.106,0.370,-0.378
2,-0.448,-0.846,0.230,0.382,-0.826,-0.296,-0.476,0.018,-0.376,-0.844,0.350,0.062,-0.498
2,0.064,0.234,0.026,0.226,-0.674,-0.538,-0.472,0.812,-0.236,-0.400,-0.414,-0.458,-0.662
2,-0.574,-0.940,0.304,-0.238,-0.478,-0.158,-0.210,-0.660,0.224,-0.698,-0.496,0.326,-0.654
2,-0.136,-0.906,-0.058,-0.238,-0.370,-0.158,-0.324,-0.358,-0.338,-0.772,0.220,0.384,-0.754
2,-0.406,-0.656,0.016,0.258,-0.566,-0.448,-0.430,0.132,-0.274,-0.800,0.382,-0.274,-0.690
2,-0.674,-0.632,0.348,0.588,-0.608,-0.352,-0.464,0.018,-0.414,-0.774,0.430,0.422,-0.594
2,-0.678,-0.478,0.176,0.134,-0.696,-0.332,-0.430,0.320,-0.406,-0.740,-0.154,0.084,-0.426
2,-0.448,-0.766,0.006,0.340,-1.000,-0.158,-0.472,0.094,-0.388,-0.922,-0.040,0.422,-0.504
2,-0.448,-0.570,0.026,-0.186,-0.760,-0.572,-0.510,0.472,-0.224,-0.808,-0.024,-0.268,-0.712
2,-0.490,-0.696,0.134,0.176,-0.652,-0.676,-0.616,0.396,-0.230,-0.604,-0.074,0.010,-0.754
2,-0.126,-0.688,-0.038,0.042,-0.782,-0.724,-0.528,0.698,-0.236,-0.698,-0.220,-0.422,-0.690
2,-0.336,-0.174,-0.080,-0.238,-0.608,0.014,-0.194,-0.548,-0.004,-0.852,0.090,0.488,-0.982
2,-0.690,-0.506,-0.016,-0.238,-0.392,0.406,-0.190,-0.850,-0.406,-0.664,0.106,0.238,-0.904
2,-0.242,-0.692,-0.102,-0.134,1.000,0.048,-0.186,-0.284,0.810,-0.774,0.106,-0.004,-0.060
2,-0.590,-0.454,0.476,0.124,0.392,-0.572,-0.726,-0.962,-0.274,-0.792,-0.236,-0.274,-0.504
2,-0.336,-0.736,-0.336,-0.444,-0.674,0.082,-0.088,-0.396,-0.142,-0.724,0.220,0.076,-0.786
2,-0.294,-0.870,-0.208,-0.186,-0.608,0.752,0.438,-0.584,-0.028,-0.450,-0.090,0.098,-0.456
2,-0.336,-0.040,-0.090,-0.238,-0.608,0.290,0.118,0.208,0.514,-0.826,0.528,0.142,-0.818
2,-0.448,-0.470,-0.636,-0.288,-0.414,-0.138,-0.228,-0.510,-0.376,-0.656,0.284,0.238,-0.384
2,-0.174,-0.762,-0.422,-0.186,-0.608,-0.676,-0.570,-0.396,-0.406,-0.800,-0.090,0.098,-0.594
2,-0.310,-0.324,0.176,0.072,-0.392,0.090,-0.254,-0.208,-0.432,-0.740,-0.480,0.546,-0.772
2,-0.584,-0.612,-0.444,-0.082,-0.652,0.048,-0.452,-0.094,-0.362,-0.866,-0.252,-0.142,-0.804
2,-0.222,-0.608,-0.336,0.020,-0.674,-0.158,-0.334,-0.284,-0.324,-0.716,-0.090,0.684,-0.438
2,-0.268,-0.284,-0.026,0.176,-0.566,-0.518,-0.368,1.000,-0.362,-0.758,-0.382,0.488,-0.948
2,-0.358,-0.608,-0.188,-0.134,-0.782,-0.538,-0.286,-0.094,-0.230,-0.638,-0.154,0.392,-0.670
2,-0.110,-0.600,-0.016,0.226,-0.696,-0.724,-0.400,0.320,-0.230,-0.656,-0.350,-0.158,-0.700
2,-0.374,-0.782,-0.380,-0.134,-0.522,-0.048,-0.282,-0.018,0.054,-0.758,-0.382,0.282,-0.952
2,-0.694,-0.758,0.434,-0.030,-0.478,0.214,0.088,-0.396,0.312,-0.766,-0.220,0.458,-0.426
2,-0.774,0.186,-0.508,-0.082,-0.196,0.518,-0.054,-0.584,1.000,-0.724,-0.560,0.128,-0.594
2,-0.216,-0.332,-0.134,0.072,-0.608,0.082,-0.186,-0.510,-0.488,-0.878,-0.318,0.106,-0.932
2,-0.616,-0.234,0.668,-0.030,-0.282,-0.468,-0.286,0.774,-0.596,-0.570,0.220,-0.098,-0.530
2,-0.800,-1.000,0.220,0.072,-0.608,0.034,-0.296,0.094,-0.350,-0.692,0.008,-0.238,-0.778
2,-0.448,-0.744,0.220,0.226,-0.696,0.090,-0.178,0.132,-0.602,-0.724,-0.268,0.406,-0.848
2,-1.000,-0.696,-0.102,0.124,-0.674,0.020,-0.228,0.472,0.010,-0.894,1.000,0.172,-0.816
2,-0.584,-0.712,-0.326,0.052,-0.652,-0.310,-0.468,-0.358,-0.294,-0.886,-0.236,0.510,-0.690
2,-0.268,-0.656,-0.112,0.226,-0.174,-0.296,-0.262,-0.208,-0.242,-0.866,-0.056,0.238,-0.904
2,-0.084,0.064,-0.336,-0.444,-0.782,-0.552,-0.616,0.132,-0.736,-0.638,-0.642,-0.378,-0.866
2,-0.490,0.064,-0.316,-0.134,-0.630,-0.296,-0.452,-0.094,-0.078,-1.000,-0.268,0.304,-0.592
2,-0.778,-0.344,0.134,-0.030,-0.434,0.324,0.034,-0.284,-0.104,-0.664,-0.480,0.554,-0.504
2,-0.722,-0.482,1.000,0.846,0.066,0.518,1.000,0.284,-0.078,-0.194,-0.268,0.772,-0.734
2,-0.268,0.458,0.466,0.640,-0.304,-0.158,-0.244,0.132,-0.180,-0.864,-0.284,0.356,-0.876
2,0.064,1.000,-0.176,0.124,-0.652,0.132,-0.026,-0.358,0.010,-0.774,-0.594,0.340,-0.854
2,-0.558,0.412,0.102,0.072,-0.740,0.296,0.136,-0.698,0.578,-0.740,-0.560,0.736,-0.854
2,-0.452,-0.438,-0.134,0.072,-0.674,0.118,-0.026,-0.094,-0.406,-0.748,-0.382,0.472,-0.858
2,-0.264,-0.688,-0.006,0.124,-0.652,0.214,0.186,-0.018,-0.142,-0.546,-0.658,0.150,-0.894
2,-0.600,-0.450,0.518,0.846,-0.522,-0.206,-0.198,0.698,-0.148,-0.706,-0.204,-0.142,-0.732
2,-0.294,-0.648,0.006,0.432,-0.608,-0.144,-0.110,0.018,-0.060,-0.856,-0.334,0.106,-0.908
2,-0.468,0.408,0.090,0.176,-0.782,-0.228,-0.406,0.094,-0.406,-0.774,-0.496,-0.048,-0.570
3,-0.036,-0.758,0.026,-0.238,0.130,-0.634,-0.616,-0.698,-0.666,-0.518,-0.544,-0.986,-0.498
3,-0.026,-0.110,0.112,-0.030,-0.260,-0.780,-0.628,-0.584,-0.736,-0.296,-0.578,-0.890,-0.640
3,-0.064,-0.380,0.112,0.382,-0.392,-0.882,-0.684,-0.472,-0.736,-0.246,-0.708,-0.934,-0.598
3,-0.122,0.110,0.070,0.124,-0.218,-0.504,-0.638,-0.850,-0.728,-0.366,-0.512,-0.986,-0.540
3,-0.222,-0.802,-0.048,-0.288,-0.674,-0.296,-0.898,0.774,-0.470,-0.288,-0.560,-0.824,-0.470
3,-0.174,-0.320,-0.102,-0.186,-0.478,-0.558,-0.864,0.886,-0.666,-0.006,-0.594,-0.772,-0.406
3,-0.358,0.574,0.262,0.072,-0.586,-0.724,-0.946,0.510,-0.754,-0.562,-0.560,-1.000,-0.370
3,-0.210,0.886,0.368,0.484,-0.434,-0.442,-0.890,0.886,-0.564,-0.366,-0.448,-0.692,-0.662
3,0.294,0.126,-0.112,-0.082,-0.608,-0.558,-0.940,0.698,-0.704,-0.246,-0.464,-0.598,-0.570
3,-0.048,-0.122,0.336,0.382,-0.326,-0.076,-0.890,0.510,-0.748,-0.378,-0.334,-0.356,-0.554
3,0.000,-0.182,0.434,0.072,-0.434,-0.614,-0.932,0.510,-0.786,-0.434,-0.528,-0.238,-0.540
3,0.226,-0.280,0.058,-0.030,-0.586,-0.710,-0.932,-0.094,-0.854,-0.262,-0.642,-0.120,-0.284
3,0.310,-0.040,0.454,0.330,-0.414,-0.606,-0.924,0.396,-0.912,-0.476,-0.334,-0.422,-0.654
3,0.364,0.664,0.058,-0.030,-0.522,-0.296,-0.806,0.284,-0.616,-0.468,-0.300,-0.428,-0.612
3,-0.358,0.242,-0.102,-0.186,-0.086,-0.724,-0.814,-0.396,-0.540,0.182,-0.724,-0.466,-0.176
3,0.122,0.118,-0.156,0.072,-0.304,-0.642,-0.912,0.132,-0.438,-0.536,-0.804,-0.700,-0.212
3,0.500,0.700,-0.070,-0.030,-0.782,-1.000,-1.000,0.018,-0.830,-0.382,-0.838,-0.956,-0.804
3,-0.032,0.530,0.198,0.124,-0.652,-0.504,-0.870,0.284,-0.716,0.088,-0.902,-0.568,-0.504
3,0.206,-0.012,0.090,0.124,-0.522,-0.344,-0.822,0.208,-0.470,0.218,-0.886,-0.744,-0.470
3,0.078,0.250,0.070,0.124,-0.066,-0.704,-0.556,-0.208,-0.540,0.386,-0.854,-0.956,-0.612
3,0.300,-0.060,0.348,0.382,0.152,-0.710,-0.482,-0.660,-0.470,0.250,-0.822,-0.978,-0.684
3,-0.074,-0.238,0.198,0.176,-0.086,-0.656,-0.570,-0.584,-0.464,0.624,-1.000,-0.854,-0.712
3,0.094,-0.542,0.486,0.536,0.000,-0.158,-0.604,-0.510,-0.274,-0.006,-0.788,-0.956,-0.790
3,0.158,0.012,-0.016,-0.186,-0.392,-0.434,-0.794,0.812,-0.078,0.576,-0.870,-0.824,-0.434
3,-0.184,-0.782,-0.208,-0.030,-0.282,-0.656,-0.898,0.510,-0.376,0.078,-0.838,-0.794,-0.484
3,0.126,0.758,0.026,0.176,-0.500,-0.476,-0.878,0.812,-0.280,0.130,-0.804,-0.846,-0.362
3,0.478,0.336,0.090,-0.082,-0.586,-0.434,-0.794,0.320,-0.274,0.320,-0.854,-0.728,-0.712
3,-0.252,-0.094,0.368,0.690,-0.414,-0.366,-0.898,0.886,-0.540,0.062,-0.692,-0.664,-0.142
3,0.742,-0.628,0.434,0.484,-0.392,0.256,-0.590,0.510,0.444,1.000,-0.854,-0.494,-0.456
3,0.290,-0.632,0.368,0.226,-0.586,0.118,-0.680,0.472,0.186,0.786,-0.854,-0.626,-0.512
3,-0.300,0.222,0.090,0.072,-0.608,-0.090,-0.756,0.396,-0.602,0.088,-0.870,-0.772,-0.654
3,0.400,-0.004,0.262,-0.030,-0.196,-0.414,-0.908,0.396,-0.754,-0.216,-0.220,-0.598,-0.426
3,-0.042,0.000,0.304,0.176,-0.218,-0.538,-0.890,0.774,-0.652,-0.266,-0.366,-0.384,-0.584
3,0.016,0.072,0.058,-0.186,-0.218,-0.718,-0.848,0.018,-0.666,-0.318,-0.674,-0.648,-0.434
3,0.448,-0.202,0.006,0.176,-0.566,-0.744,-0.856,0.056,-0.608,0.416,-0.642,-0.700,-0.520
3,0.422,0.430,-0.038,0.226,-0.608,-0.794,-0.946,0.472,-0.534,-0.088,-0.512,-0.648,-0.654
3,0.274,0.170,0.326,0.278,-0.108,-0.504,-0.756,0.132,-0.338,0.604,-0.398,-0.788,-0.406
3,-0.058,0.040,0.006,-0.082,-0.608,-0.656,-0.864,0.018,-0.646,0.532,-0.610,-0.648,-0.420
3,0.342,-0.272,0.422,0.432,-0.240,-0.606,-0.790,-0.018,-0.288,0.260,-0.578,-0.612,-0.326
3,0.248,0.526,0.604,0.484,-0.086,-0.310,-0.738,-0.472,-0.558,0.232,-0.692,-0.524,-0.498
3,-0.384,-0.094,0.026,-0.134,-0.434,-0.814,-0.936,0.018,-0.798,-0.280,-0.708,-0.590,-0.670
3,-0.084,-0.348,-0.016,-0.082,-0.652,-0.718,-0.928,0.320,-0.854,0.470,-0.854,-0.736,-0.726
3,0.648,-0.300,0.198,-0.030,-0.544,-0.518,-0.848,0.170,-0.476,0.436,-0.772,-0.678,-0.456
3,0.410,0.940,0.166,0.020,-0.456,-0.518,-0.886,0.472,-0.590,0.096,-0.740,-0.656,-0.340
3,0.248,0.252,0.198,0.278,-0.304,-0.434,-0.828,0.132,-0.370,0.028,-0.642,-0.788,-0.326
3,0.178,0.400,-0.038,-0.030,0.086,-0.580,-0.852,0.132,-0.406,0.522,-0.822,-0.788,-0.206
3,0.126,-0.268,0.080,-0.030,0.086,-0.538,-0.856,0.510,-0.338,0.368,-0.804,-0.744,-0.198
3,0.632,0.328,0.476,0.432,-0.434,-0.262,-0.822,0.622,-0.406,0.352,-0.788,-0.758,-0.598
