#0303#
150 4
class	Sepal_Length	Sepal_Width	Petal_Length	Petal_Width
versicolor	-0.111	0.750	-0.153	0.000
versicolor	0.278	0.167	-0.051	0.000
versicolor	0.333	0.583	-0.017	0.000
versicolor	0.333	0.500	-0.153	0.083
versicolor	0.000	0.167	-0.220	-0.083
versicolor	0.167	0.500	-0.017	0.083
versicolor	0.611	0.750	0.220	0.250
versicolor	0.278	0.417	-0.085	0.000
versicolor	0.222	0.167	-0.085	0.083
versicolor	0.222	0.250	-0.085	0.000
versicolor	-0.056	0.250	-0.119	0.000
versicolor	0.556	0.583	0.322	0.167
versicolor	0.222	0.333	-0.051	0.000
virginica	-0.111	-0.083	-0.695	-1.000
virginica	0.167	0.417	-0.390	-0.500
virginica	-0.556	0.167	-0.661	-0.667
virginica	-0.111	0.250	-0.559	-0.417
virginica	-0.222	0.167	-0.627	-0.750
virginica	-0.833	0.167	-0.898	-0.667
virginica	0.667	0.583	-0.186	-0.333
virginica	-0.667	0.250	-0.797	-0.417
virginica	-0.333	0.583	-0.627	-0.417
virginica	-0.611	-0.333	-0.729	-1.000
virginica	-0.222	0.000	-0.390	-0.583
virginica	-0.167	0.417	-0.458	-0.500
virginica	-0.389	0.167	-0.525	-0.667
virginica	0.222	0.583	-0.356	-0.583
virginica	0.167	0.333	-0.390	-0.917
virginica	-0.167	0.000	-0.458	-0.833
virginica	-0.222	0.167	-0.525	-0.417
virginica	-0.889	-0.500	-0.932	-0.750
virginica	-0.889	0.500	-1.000	-0.833
virginica	0.056	0.833	-0.356	-0.167
virginica	-0.444	0.000	-0.593	-0.833
virginica	0.278	0.333	-0.322	-0.583
virginica	-0.889	0.333	-0.932	-0.583
virginica	-0.111	0.417	-0.322	-0.417
virginica	-0.333	-0.083	-0.593	-0.667
virginica	-0.611	0.000	-0.695	-0.417
virginica	-0.056	0.333	-0.288	-0.417
virginica	0.000	0.167	-0.322	-0.417
virginica	-0.167	0.333	-0.559	-0.667
virginica	-0.611	0.167	-0.627	-0.250
virginica	-0.722	0.333	-0.729	-0.500
virginica	-1.000	-0.500	-0.831	-0.583
virginica	-0.167	0.333	-0.559	-0.750
virginica	-0.111	0.333	-0.390	-0.167
virginica	0.000	0.500	-0.559	-0.083
virginica	-0.889	0.167	-0.729	-0.833
virginica	-0.111	-0.167	-0.559	-0.917
virginica	-0.167	0.083	-0.525	-0.417
virginica	0.056	0.167	-0.288	-0.417
virginica	-0.444	0.083	-0.492	-0.667
virginica	-0.333	0.083	-0.559	-0.917
virginica	-0.444	0.083	-0.390	-0.833
virginica	0.167	0.417	-0.390	-0.500
virginica	-0.389	0.000	-0.661	-0.833
virginica	-0.333	-0.083	-0.593	-1.000
virginica	-0.333	0.167	-0.424	-0.833
virginica	-0.111	0.583	-0.356	-0.500
virginica	-0.222	0.167	-0.424	-0.583
virginica	-0.056	-0.167	-0.492	-0.833
virginica	0.111	0.167	-0.390	-0.417
